Date : 2025-06-08 21:38:57
Directory : c:\Users\sd23097\Desktop\Tirobot_works
Total : 332 files,  2722909 codes, 9189 comments, 23798 blanks, all 2755896 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| NHK2024\gakurobo-ws-master\src\merger (Files)                                                                                            |          2 |         66 |          0 |         13 |         79 |
| NHK2024\gakurobo-ws-master\src\merger\config                                                                                             |          1 |         18 |          0 |          1 |         19 |
| NHK2024\gakurobo-ws-master\src\merger\include                                                                                            |          1 |         53 |          0 |         11 |         64 |
| NHK2024\gakurobo-ws-master\src\merger\include\merger                                                                                     |          1 |         53 |          0 |         11 |         64 |
| NHK2024\gakurobo-ws-master\src\merger\src                                                                                                |          1 |        117 |          0 |         33 |        150 |
| NHK2024\gakurobo-ws-master\src\obstacle_msgs                                                                                             |          2 |         45 |          0 |         11 |         56 |
| NHK2024\gakurobo-ws-master\src\serial_bridge                                                                                             |          5 |        238 |          0 |         55 |        293 |
| NHK2024\gakurobo-ws-master\src\serial_bridge (Files)                                                                                     |          2 |         57 |          0 |         13 |         70 |
| NHK2024\gakurobo-ws-master\src\serial_bridge\arduino                                                                                     |          1 |         48 |          0 |         13 |         61 |
| NHK2024\gakurobo-ws-master\src\serial_bridge\include                                                                                     |          1 |         49 |          0 |         13 |         62 |
| NHK2024\gakurobo-ws-master\src\serial_bridge\include\serial_bridge                                                                       |          1 |         49 |          0 |         13 |         62 |
| NHK2024\gakurobo-ws-master\src\serial_bridge\src                                                                                         |          1 |         84 |          0 |         16 |        100 |
| Project_Tiboard                                                                                                                          |        125 |      8,127 |      1,036 |      1,540 |     10,703 |
| Project_Tiboard (Files)                                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| Project_Tiboard\Scripts                                                                                                                  |          6 |        978 |        512 |        194 |      1,684 |
| Project_Tiboard\Tiboard                                                                                                                  |        116 |      6,867 |        523 |      1,343 |      8,733 |
| Project_Tiboard\Tiboard (Files)                                                                                                          |          9 |      1,636 |         25 |        155 |      1,816 |
| Project_Tiboard\Tiboard\OAuth                                                                                                            |          9 |         42 |          0 |          0 |         42 |
| Project_Tiboard\Tiboard\OAuth (Files)                                                                                                    |          1 |         13 |          0 |          0 |         13 |
| Project_Tiboard\Tiboard\OAuth\tokens                                                                                                     |          8 |         29 |          0 |          0 |         29 |
| Project_Tiboard\Tiboard\Tiboard                                                                                                          |          5 |        136 |         63 |         60 |        259 |
| Project_Tiboard\Tiboard\dash_board                                                                                                       |          9 |        131 |         14 |         49 |        194 |
| Project_Tiboard\Tiboard\dash_board (Files)                                                                                               |          8 |        131 |         14 |         48 |        193 |
| Project_Tiboard\Tiboard\dash_board\migrations                                                                                            |          1 |          0 |          0 |          1 |          1 |
| Project_Tiboard\Tiboard\functions                                                                                                        |          4 |        244 |         21 |         40 |        305 |
| Project_Tiboard\Tiboard\not_in_use                                                                                                       |          2 |        264 |        114 |         59 |        437 |
| Project_Tiboard\Tiboard\question_board                                                                                                   |         14 |        219 |         10 |         58 |        287 |
| Project_Tiboard\Tiboard\question_board (Files)                                                                                           |          8 |        145 |          7 |         38 |        190 |
| Project_Tiboard\Tiboard\question_board\management                                                                                        |          1 |         13 |          0 |          3 |         16 |
| Project_Tiboard\Tiboard\question_board\management\commands                                                                               |          1 |         13 |          0 |          3 |         16 |
| Project_Tiboard\Tiboard\question_board\migrations                                                                                        |          3 |         53 |          2 |         14 |         69 |
| Project_Tiboard\Tiboard\question_board\templatetags                                                                                      |          2 |          8 |          1 |          3 |         12 |
| Project_Tiboard\Tiboard\score_board                                                                                                      |          8 |         24 |          4 |         16 |         44 |
| Project_Tiboard\Tiboard\score_board (Files)                                                                                              |          7 |         24 |          4 |         15 |         43 |
| Project_Tiboard\Tiboard\score_board\migrations                                                                                           |          1 |          0 |          0 |          1 |          1 |
| Project_Tiboard\Tiboard\static                                                                                                           |         22 |      3,285 |        231 |        705 |      4,221 |
| Project_Tiboard\Tiboard\static (Files)                                                                                                   |          1 |         29 |          0 |          0 |         29 |
| Project_Tiboard\Tiboard\static\base                                                                                                      |          3 |        296 |         18 |         63 |        377 |
| Project_Tiboard\Tiboard\static\question_board                                                                                            |          4 |      1,206 |         74 |        263 |      1,543 |
| Project_Tiboard\Tiboard\static\task_board                                                                                                |          3 |        579 |         40 |        128 |        747 |
| Project_Tiboard\Tiboard\static\widgets_test                                                                                              |         11 |      1,175 |         99 |        251 |      1,525 |
| Project_Tiboard\Tiboard\task_board                                                                                                       |         13 |        237 |         11 |         65 |        313 |
| Project_Tiboard\Tiboard\task_board (Files)                                                                                               |         10 |        135 |          9 |         51 |        195 |
| Project_Tiboard\Tiboard\task_board\migrations                                                                                            |          3 |        102 |          2 |         14 |        118 |
| Project_Tiboard\Tiboard\templates                                                                                                        |         13 |        630 |         26 |        118 |        774 |
| Project_Tiboard\Tiboard\templates (Files)                                                                                                |          5 |        251 |          2 |         35 |        288 |
| Project_Tiboard\Tiboard\templates\dash_board                                                                                             |          2 |         93 |          0 |         18 |        111 |
| Project_Tiboard\Tiboard\templates\mypage                                                                                                 |          1 |          4 |          0 |          1 |          5 |
| Project_Tiboard\Tiboard\templates\question_board                                                                                         |          2 |        168 |         24 |         41 |        233 |
| Project_Tiboard\Tiboard\templates\score_board                                                                                            |          1 |         38 |          0 |          9 |         47 |
| Project_Tiboard\Tiboard\templates\task_board                                                                                             |          1 |         43 |          0 |          7 |         50 |
| Project_Tiboard\Tiboard\templates\widgets_test                                                                                           |          1 |         33 |          0 |          7 |         40 |
| Project_Tiboard\Tiboard\widgets_test                                                                                                     |          8 |         19 |          4 |         18 |         41 |
| Project_Tiboard\Tiboard\widgets_test (Files)                                                                                             |          7 |         19 |          4 |         17 |         40 |
| Project_Tiboard\Tiboard\widgets_test\migrations                                                                                          |          1 |          0 |          0 |          1 |          1 |
| Project_Tiboard\share                                                                                                                    |          2 |        277 |          1 |          2 |        280 |
| Project_Tiboard\share\jupyter                                                                                                            |          2 |        277 |          1 |          2 |        280 |
| Project_Tiboard\share\jupyter\kernels                                                                                                    |          2 |        277 |          1 |          2 |        280 |
| Project_Tiboard\share\jupyter\kernels\python3                                                                                            |          2 |        277 |          1 |          2 |        280 |
| Training                                                                                                                                 |          5 |        215 |         15 |         72 |        302 |
| Training\BunaiRobocon                                                                                                                    |          1 |         39 |          0 |          8 |         47 |
| Training\Intro                                                                                                                           |          4 |        176 |         15 |         64 |        255 |
| Training\Intro (Files)                                                                                                                   |          1 |         11 |          0 |          3 |         14 |
| Training\Intro\main                                                                                                                      |          3 |        165 |         15 |         61 |        241 |
| WRO2017                                                                                                                                  |         99 |     12,830 |      7,794 |      3,966 |     24,590 |
| WRO2017\Lego-20250607T115704Z-1-001                                                                                                      |         99 |     12,830 |      7,794 |      3,966 |     24,590 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego                                                                                                 |         99 |     12,830 |      7,794 |      3,966 |     24,590 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego (Files)                                                                                         |          3 |      1,431 |        112 |        130 |      1,673 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017                                                                                    |         91 |     10,726 |      7,591 |      3,716 |     22,033 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017 (Files)                                                                            |         10 |        916 |         56 |        179 |      1,151 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers                                                                            |         81 |      9,810 |      7,535 |      3,537 |     20,882 |
| WRO2017\Lego-20250607T115704Z-1-001\Lego\無題のフォルダ                                                                                         |          5 |        673 |         91 |        120 |        884 |
| competition2                                                                                                                             |          2 |        679 |          0 |          1 |        680 |
| kaggle                                                                                                                                   |          4 |    294,575 |          0 |         72 |    294,647 |
| kaggle\house price                                                                                                                       |          3 |    294,574 |          0 |         72 |    294,646 |
| kaggle\house price (Files)                                                                                                               |          2 |          2 |          0 |          0 |          2 |
| kaggle\house price\house-prices-advanced-regression-techniques                                                                           |          1 |    294,572 |          0 |         72 |    294,644 |
| kaggle\titanic                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\AutoEncoder1.py                                                            | Python           |         27 |          0 |         11 |         38 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\AutoEncoder2.py                                                            | Python           |         27 |          0 |          9 |         36 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Detect_AE.py                                                               | Python           |         28 |         14 |         25 |         67 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Detect_PCA.py                                                              | Python           |         23 |         16 |         20 |         59 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Encoder.py                                                                 | Python           |         11 |         24 |         19 |         54 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\PCA1.py                                                                    | Python           |         11 |          0 |          8 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\PCA2.py                                                                    | Python           |         11 |          0 |          8 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\Preprocess1.py                                                             | Python           |         82 |          0 |         43 |        125 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\mvtest.py                                                                  | Python           |        131 |         62 |         63 |        256 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\mvtest2.py                                                                 | Python           |         88 |         14 |         40 |        142 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\preprocess2.py                                                             | Python           |         33 |          4 |         19 |         56 |
| c:\Users\sd23097\Desktop\Tirobot_works\AnormallyDetect\python\supertest.py                                                               | Python           |          6 |          0 |          3 |          9 |
| c:\Users\sd23097\Desktop\Tirobot_works\GCI\telecom.ipynb                                                                                 | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\GCI\telecom.sqlite3                                                                               | Database         |    780,147 |          0 |      4,016 |    784,163 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\PID.cpp                                                | C++              |         34 |          0 |          6 |         40 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\PID.h                                                  | C++              |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\README.md                                              | Markdown         |          3 |          0 |          1 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\kantonatsurobo2023_omni.ino                            | C++              |        146 |         48 |         38 |        232 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\motor.cpp                                              | C++              |         20 |          0 |          6 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\motor.hpp                                              | C++              |         19 |          0 |          3 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\multifunction.ino                                                                   | C++              |        146 |         54 |         55 |        255 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\NHK_R1.ino                                                                         | C++              |        527 |         24 |         89 |        640 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\PID.cpp                                                                            | C++              |         34 |          0 |          6 |         40 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\PID.h                                                                              | C++              |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\README.md                                                                          | Markdown         |          4 |          0 |          0 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\rad_pid.cpp                                                                        | C++              |         38 |          0 |          8 |         46 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\rad_pid.h                                                                          | C++              |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\NHK_rad_pid.ino                                                               | C++              |        224 |         22 |         44 |        290 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\PID.cpp                                                                       | C++              |         34 |          0 |          6 |         40 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\PID.h                                                                         | C++              |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\README.md                                                                     | Markdown         |          3 |          0 |          1 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\motor.cpp                                                                     | C++              |         20 |          0 |          6 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\motor.hpp                                                                     | C++              |         19 |          0 |          3 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\rad_pid.cpp                                                                   | C++              |         38 |          0 |          8 |         46 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\rad_pid.h                                                                     | C++              |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\NHK_rpm_pid.ino                                                               | C++              |        160 |         18 |         42 |        220 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\PID.cpp                                                                       | C++              |         34 |          0 |          6 |         40 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\PID.h                                                                         | C++              |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\README.md                                                                     | Markdown         |          3 |          0 |          1 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\motor.cpp                                                                     | C++              |         20 |          0 |          6 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\motor.hpp                                                                     | C++              |         19 |          0 |          3 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\README.md                                                              | Markdown         |         20 |          0 |          7 |         27 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\README.md                                              | Markdown         |          4 |          0 |          3 |          7 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\ball_camera\__init__.py                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\ball_camera\detector.py                                | Python           |        108 |          0 |         24 |        132 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\config\params.yaml                                     | YAML             |         10 |          0 |          1 |         11 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\launch\ball_camera.launch.py                           | Python           |         36 |          0 |          7 |         43 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\models\README.md                                       | Markdown         |          7 |          0 |          3 |         10 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\models\yolov8l.pt                                      | XML              |  1,059,289 |          0 |      8,856 |  1,068,145 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\models\yolov8m.pt                                      | XML              |    520,050 |          0 |      4,022 |    524,072 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\models\yolov8n.pt                                      | XML              |     43,044 |          0 |        229 |     43,273 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\package.xml                                            | XML              |         21 |          0 |          5 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\setup.cfg                                              | Ini              |          4 |          0 |          1 |          5 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\setup.py                                               | Python           |         27 |          0 |          4 |         31 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera_msgs\CMakeLists.txt                                    | CMake            |         24 |          0 |          6 |         30 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera_msgs\package.xml                                       | XML              |         18 |          0 |          5 |         23 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\CMakeLists.txt                                            | CMake            |         87 |          0 |         15 |        102 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\config\params.yaml                                        | YAML             |         17 |          0 |          2 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\include\detector\clusterer.h                              | C++              |         28 |          0 |         11 |         39 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\include\detector\detector.h                               | C++              |         49 |          0 |         15 |         64 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\include\detector\filter.h                                 | C++              |         27 |          0 |          8 |         35 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\include\detector\visualizer.h                             | C++              |         14 |          0 |          6 |         20 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\package.xml                                               | XML              |         17 |          0 |          5 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\clusterer.cpp                                         | C++              |         34 |          0 |          8 |         42 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\detector.cpp                                          | C++              |        192 |          0 |         40 |        232 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\filter.cpp                                            | C++              |        215 |          4 |         29 |        248 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\nodes\detector_node.cpp                               | C++              |          8 |          0 |          3 |         11 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\nodes\filter_node.cpp                                 | C++              |          8 |          0 |          3 |         11 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\nodes\visualizer_node.cpp                             | C++              |          8 |          0 |          3 |         11 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\visualizer.cpp                                        | C++              |         65 |          0 |         11 |         76 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\CMakeLists.txt                                       | CMake            |         25 |          0 |          6 |         31 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\config\ball_camera.yaml                              | YAML             |         14 |          0 |          1 |         15 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\config\detector.yaml                                 | YAML             |         17 |          0 |          2 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\config\merger.yaml                                   | YAML             |         18 |          0 |          1 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\launch\obstacles_detection.launch.yaml               | YAML             |         36 |          0 |          7 |         43 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\package.xml                                          | XML              |         15 |          0 |          4 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\lidar_controller\__init__.py                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\lidar_controller\controller.py                    | Python           |         41 |          0 |          9 |         50 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\package.xml                                       | XML              |         16 |          0 |          3 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\setup.cfg                                         | Ini              |          4 |          0 |          1 |          5 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\setup.py                                          | Python           |         23 |          0 |          3 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\test\test_copyright.py                            | Python           |          8 |         14 |          4 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\test\test_flake8.py                               | Python           |          9 |         13 |          4 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\test\test_pep257.py                               | Python           |          7 |         13 |          4 |         24 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\merger\CMakeLists.txt                                              | CMake            |         51 |          0 |          9 |         60 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\merger\config\params.yaml                                          | YAML             |         18 |          0 |          1 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\merger\include\merger\merger.h                                     | C++              |         53 |          0 |         11 |         64 |
